head,head,205.83,206.35
and,and,206.48,206.66
I,i,206.66,206.74
thought,thought,206.74,207.14
Wow,wow,207.73,208.37
I,i,208.48,208.67
see,see,208.67,208.95
this,this,208.95,209.18
in,in,209.19,209.4
my,my,209.4,209.57
cancer,cancer,209.57,209.97
cells,cells,209.969999,210.339999
every,every,210.49,211.02
day,day,211.02,211.34
when,when,211.34,211.52
it,it,211.52,211.61
comes,comes,211.61,211.91
to,to,211.91,211.99
their,their,211.99,212.16
movement,movement,212.16,212.8
The,the,213.44,213.67
idea,idea,213.67,214.24
for,for,214.25,214.4
my,my,214.41,214.6
project,project,214.6,215.22
was,was,215.26,215.5
thus,thus,215.68,215.81
born,born,215.81,216.19
I,i,216.859999,217.169999
hypothesized,hypothesized,217.2,218.23
that,that,218.25,218.4
cancer,cancer,218.4,218.87
cells,cells,218.87,219.36
are,are,219.59,219.76
able,able,219.76,220
to,to,220,220.11
communicate,communicate,220.12,220.87
with,with,220.87,221.05
each,each,221.05,221.28
other,other,221.28,221.67
and,and,221.89,222.1
coordinate,coordinate,222.1,222.87
their,their,222.87,223.04
movement,movement,223.05,223.82
based,based,224.08,224.5
on,on,224.5,224.74
how,how,224.75,225
closely,closely,225,225.61
packed,packed,225.61,225.92
they,they,225.94,226.16
are,are,226.219999,226.449999
in,in,226.52,226.68
the,the,226.679999,226.779999
tumor,tumor,226.78,227.01
microenvironment,<unk>,227.01,227.1
I,i,229.79,230.01
became,became,230.009999,230.679999
obsessed,obsessed,230.87,231.59
with,with,231.589999,231.729999
pursuing,pursuing,231.73,232.24
this,this,232.24,232.4
hypothesis,hypothesis,232.4,233.32
And,and,233.83,234.31
fortunately,fortunately,234.48,235.47
I,i,235.58,235.75
work,work,235.75,236.02
for,for,236.02,236.14
someone,someone,236.14,236.61
who,who,236.61,236.76
is,is,236.76,236.91
open,open,236.94,237.35
to,to,237.35,237.5
running,running,237.5,237.93
with,with,237.93,238.12
my,my,238.12,238.32
crazy,crazy,238.32,238.8
ideas,ideas,238.8,239.45
So,so,240.02,240.5
I,i,240.72,240.88
threw,threw,240.9,241.14
myself,myself,241.14,241.64
into,into,241.64,241.85
this,this,241.85,242.02
project,project,242.02,242.65
However,however,243.22,243.95
I,i,244.27,244.45
couldn't,couldn't,244.45,244.91
do,do,244.91,245.04
it,it,245.04,245.2
by,by,245.21,245.42
myself,myself,245.42,246.07
I,i,246.54,246.67
needed,needed,246.67,247
help,help,247,247.48
I,i,248,248.14
definitely,definitely,248.139999,248.729999
needed,needed,248.73,249.06
help,help,249.059999,249.529999
So,so,250.15,250.38
we,we,250.379999,250.529999
recruited,recruited,250.529999,251.049999
undergraduate,undergraduate,251.129999,251.939999
students,students,251.940001,252.360001
graduate,graduate,252.38,252.97
students,students,252.97,253.37
postdoctoral,postdoctoral,253.4,254.36
fellows,fellows,254.36,254.8
and,and,254.83,254.97
professors,professors,254.97,255.74
from,from,256.04,256.28
different,different,256.28,256.73
institutions,institutions,256.73,257.56
and,and,257.59,257.77
multiple,multiple,257.83,258.33
disciplines,disciplines,258.86,259.6
to,to,259.91,260.07
come,come,260.08,260.5
together,together,260.5,261.09
and,and,261.3,261.57
work,work,261.57,261.88
on,on,261.889999,262.109999
this,this,262.11,262.34
idea,idea,262.36,263.01
that,that,263.05,263.21
I,i,263.21,263.35
conceived,conceived,263.38,264
as,as,264.02,264.21
a,a,264.21,264.27
sophomore,sophomore,264.27,264.9
in,in,264.9,265.05
college,college,265.049999,265.749999
After,after,266.49,266.9
years,years,266.91,267.47
of,of,267.48,267.65
conducting,conducting,267.65,268.2
experiments,experiments,268.199999,268.979999
together,together,268.98,269.55
and,and,269.83,270.07
merging,merging,270.08,270.66
different,different,270.66,271.02
ideas,ideas,271.03,271.67
and,and,271.67,271.88
perspectives,perspectives,271.88,272.88
we,we,273.37,273.75
discovered,discovered,273.75,274.49
a,a,274.55,274.68
new,new,274.68,275.15
